Dataset,ref_sp,ref_cs,clustalw_sp,clustalw_cs,muscle_sp,muscle_cs,t_coffee_sp,t_coffee_cs
BBS30003,617664.0,39.0,584732,27,653370,220,6638,3437
BBS30004,150084.0,65.0,148741,63,151567,102,100901,2540
BBS30005,460919.0,31.0,455321,22,463774,54,39927,1979
BBS30006,3550.0,3.0,3645,4,3679,51,34595,2922
BBS30007,7763.0,10.0,7868,6,8085,13,29623,1335
BBS30008,79744.0,32.0,81757,33,86642,77,8116,384
BBS30009,14049.0,4.0,14293,0,14310,2,34895,899
BBS30010,298504.0,55.0,295656,53,300617,111,1760,239
BBS30011,214777.0,26.0,210773,21,216042,50,27932,2641
BBS30012,174265.0,32.0,174197,42,179772,77,136727,5979
BBS30013,420472.0,48.0,416289,51,432443,147,34144,1229
BBS30014,50547.0,16.0,48902,8,50718,48,151129,10460
BBS30015,6270.0,10.0,5789,7,6254,11,68627,230
BBS30016,14620.0,3.0,14379,4,14770,4,3881,1100
BBS30017,5410.0,20.0,4902,9,5585,37,105634,1128
BBS30018,364587.0,27.0,361085,18,366909,46,16434,310
BBS30019,33125.0,13.0,31971,8,34552,22,193752,2398
BBS30020,30767.0,7.0,30708,1,31836,8,9103,268
BBS30021,395014.0,30.0,385896,24,412407,76,28347,411
BBS30022,77247.0,12.0,75709,7,78447,15,42861,497
BBS30023,168886.0,27.0,162706,19,171148,150,13186,658
BBS30024,109784.0,30.0,104605,32,115074,77,49642,891
BBS30025,52566.0,6.0,51565,3,53675,21,120134,6337
BBS30026,257712.0,32.0,240606,20,263953,121,73334,620
BBS30027,4530.0,23.0,4638,22,4812,29,27650,2319
BBS30028,604094.0,23.0,597427,13,606967,90,12360,2042
BBS30029,624275.0,67.0,620118,72,637930,193,5913,112
BBS30030,149023.0,77.0,148808,57,151405,132,16146,92
BBS50001,62316.0,65.0,59316,60,65733,159,64792,204
BBS50002,2477.0,75.0,2162,17,2815,247,2650,417
BBS50003,53065.0,571.0,49774,548,53467,626,53363,615
BBS50005,15933.0,264.0,15849,267,16000,308,16001,292
BBS50006,152731.0,268.0,146641,229,161607,559,159817,562
BBS50007,8376.0,106.0,8571,89,9214,227,8995,194
BBS50008,18228.0,119.0,18019,123,18718,133,18760,149
BBS50009,30005.0,33.0,30118,90,30617,184,30622,274
BBS50010,9066.0,59.0,8782,46,9416,92,9398,172
BBS50011,43431.0,83.0,42505,30,45491,324,44668,492
BBS50012,90582.0,133.0,86067,159,92094,983,91690,789
BBS50013,12732.0,48.0,12781,42,13007,57,70623,345
BBS50014,69889.0,289.0,68631,259,70791,428,23713,222
BBS50015,21523.0,160.0,20474,135,23996,231,11468,445
BBS50016,11179.0,349.0,10676,145,11519,436,12996,55
RF00164,,,208169.0,22.0,208169.0,22.0,208169.0,22.0
RF00165,,,432168.0,3.0,438284.0,9.0,453486.0,19.0
RF00182,,,18444.0,67.0,18474.0,68.0,18480.0,69.0
RF00507,,,1068040.0,16.0,1074155.0,16.0,1087901.0,19.0
RF03116,,,132744.0,24.0,140590.0,171.0,146536.0,155.0
RF03117,,,1458178.0,58.0,1525250.0,113.0,1548808.0,153.0
RF03118,,,4935.0,98.0,4897.0,102.0,5079.0,117.0
RF03119,,,11791.0,52.0,12179.0,116.0,12689.0,105.0
RF03120,,,971924.0,248.0,972327.0,248.0,970241.0,247.0
RF03121,,,132315.0,196.0,142157.0,312.0,145407.0,169.0
RF03122,,,1757024.0,24.0,1847381.0,124.0,1901022.0,102.0
RF03123,,,9848.0,173.0,9828.0,172.0,9975.0,188.0
RF03124,,,20334.0,92.0,20149.0,242.0,20734.0,150.0
RF03125,,,1181702.0,285.0,1181946.0,293.0,1181690.0,297.0
